trt,rep,nrate_kgha,krate_kgha,yield_kgha
1,1,0,0,5488
2,1,0,30,4448
3,1,0,60,7445
4,1,100,0,4268
5,1,100,30,4830
6,1,100,60,4808
7,1,200,0,5140
8,1,200,30,5400
9,1,200,60,5155
5,2,100,30,5552
6,2,100,60,4275
4,2,100,0,2895
1,2,0,0,4410
2,2,0,30,4082
3,2,0,60,5418
7,2,200,0,5285
9,2,200,60,2795
8,2,200,30,5258
1,3,0,0,5500
2,3,0,30,4160
3,3,0,60,4860
6,3,100,60,5160
4,3,100,0,5018
5,3,100,30,4645
8,3,200,30,4908
7,3,200,0,4708
9,3,200,60,4588
1,4,0,0,5178
2,4,0,30,4151
3,4,0,60,6111
4,4,100,0,3603
5,4,100,30,5270
6,4,100,60,5285
7,4,200,0,4864
8,4,200,30,4835
9,4,200,60,3772
