block,wplot,krate_kgha,splot,nrate_kgha,trtname
1,101,0,101-1,0,0+0
1,101,0,101-2,100,0+100
1,101,0,101-3,200,0+200
1,102,60,102-1,0,60+0
1,102,60,102-2,200,60+200
1,102,60,102-3,100,60+100
1,103,30,103-1,0,30+0
1,103,30,103-2,200,30+200
1,103,30,103-3,100,30+100
2,201,30,201-1,200,30+200
2,201,30,201-2,100,30+100
2,201,30,201-3,0,30+0
2,202,60,202-1,0,60+0
2,202,60,202-2,200,60+200
2,202,60,202-3,100,60+100
2,203,0,203-1,0,0+0
2,203,0,203-2,100,0+100
2,203,0,203-3,200,0+200
3,301,60,301-1,200,60+200
3,301,60,301-2,0,60+0
3,301,60,301-3,100,60+100
3,302,0,302-1,200,0+200
3,302,0,302-2,100,0+100
3,302,0,302-3,0,0+0
3,303,30,303-1,200,30+200
3,303,30,303-2,100,30+100
3,303,30,303-3,0,30+0
4,401,0,401-1,100,0+100
4,401,0,401-2,200,0+200
4,401,0,401-3,0,0+0
4,402,60,402-1,100,60+100
4,402,60,402-2,0,60+0
4,402,60,402-3,200,60+200
4,403,30,403-1,200,30+200
4,403,30,403-2,0,30+0
4,403,30,403-3,100,30+100
